Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
MEH8582,2,2015/09/02,2015/09/02
MIN2120,1,2015/04/06,2015/04/06
MIN2954,16,2015/09/13,2015/09/13
MIN4546,17,2015/09/13,2015/09/13
MIN7228,1,2015/09/08,2015/09/08
MIN8580,15,2015/09/13,2015/09/13
MIN8992,13,2015/09/03,2015/09/03
MIR2554,45,2015/09/11,2015/09/11
MIS1789,1,2015/07/29,2015/07/29
MIS3428,4,2015/04/21,2015/04/21
MIT0559,1,2015/09/06,2015/09/06
MIT6306,1,2015/09/06,2015/09/06
MIT6647,2,2015/09/06,2015/09/06
MIT9044,1,2015/09/03,2015/09/03
MOH7981,1,2015/08/21,2015/08/21
MON6770,1,2015/08/29,2015/08/29
MON8362,1,2015/07/03,2015/07/03
MOR3022,75,2015/08/22,2015/08/22
MRB4945,2,2015/09/07,2015/09/07
MRB9419,5,2015/09/07,2015/09/07
MRJ6843,1,2015/08/28,2015/08/28
MRP3022,1,2015/09/08,2015/09/08
MRS2204,1,2015/09/10,2015/09/10
MSS9752,1,2015/08/14,2015/08/14
MUD6577,1,2015/09/04,2015/09/04
MUH7229,1,2015/08/21,2015/08/21
MUK3515,1,2015/07/05,2015/07/05
MUK6866,1,2015/07/08,2015/07/08
MUS6865,3,2015/08/29,2015/08/29
MYR9182,6,2015/09/09,2015/09/09
NAG4163,2,2015/06/19,2015/06/19
NAG9019,1,2015/07/02,2015/07/02
NAI0681,1,2015/06/03,2015/06/03
NAI8822,1,2015/07/25,2015/07/25
NAJ2830,2,2015/09/06,2015/09/06
NAL2073,2,2015/08/11,2015/08/11
NAN6355,2,2015/09/10,2015/09/10
NAT6905,3,2015/06/06,2015/06/06
NEH5354,2,2015/08/28,2015/08/28
NFI4489,27,2015/05/19,2015/05/19
NIT3820,2,2015/06/21,2015/06/21
NIT6182,1,2015/07/09,2015/07/09
NIV5147,11,2015/09/10,2015/09/10
NUR1974,2,2015/07/15,2015/07/15
OMK1665,1,2015/09/10,2015/09/10
OMK4182,10,2015/09/07,2015/09/07
OMK4690,105,2015/09/11,2015/09/11
OMK4837,6,2015/09/07,2015/09/07
OMK5368,7,2015/09/10,2015/09/10
OMK5930,19,2015/09/09,2015/09/09
OMK6016,44,2015/09/08,2015/09/08
OMK7394,47,2015/09/07,2015/09/07
OMK8509,16,2015/09/08,2015/09/08
OMK9440,4,2015/09/07,2015/09/07
OMK9621,125,2015/09/11,2015/09/11
PAD2522,2,2015/07/17,2015/07/17
PAL7345,3,2015/06/29,2015/06/29
PAM0476,1,2015/08/25,2015/08/25
PAN3483,1,2015/08/05,2015/08/05
PAN3753,2,2015/06/06,2015/06/06
PAN9363,1,2015/07/01,2015/07/01
PAR0389,1,2015/04/06,2015/04/06
PAR6707,2,2015/07/29,2015/07/29
PAT0104,1,2015/08/04,2015/08/04
PAT5656,1,2015/07/24,2015/07/24
PAW6781,3,2015/09/09,2015/09/09
PAW6975,1,2015/04/27,2015/04/27
PAY3122,2,2015/08/24,2015/08/24
